Topic,Size,Total Domestic Gross,Total Worldwide Gross
Set in Rwanda,2,"$14,393 ","$1,769,842 "
"Set in Sicily, Italy",2,"$15,285 ","$367,513 "
Set in Slovakia,2,"$64,437 ","$1,933,235 "
Set in South Carolina,2,$0 ,$0 
Set in South Dakota,2,"$34,793 ","$146,937 "
"Set in St. Louis, MO",2,$0 ,$0 
Set in Sudan,2,"$37,880 ","$37,880 "
Set in Tennessee,2,$0 ,$0 
Set in Tuscany,2,"$107,362 ","$8,879,530 "
Set in Uganda,2,"$8,874,389 ","$10,055,481 "
Set in USSR,2,"$1,224,330 ","$17,694,936 "
"Set in Venice, Italy",2,"$390,532,085 ","$1,131,219,645 "
Set in Vermont,2,"$18,123 ","$18,123 "
Shamanism,2,"$23,254 ","$23,254 "
Sheep,2,"$232,237 ","$7,055,546 "
Skipping School,2,"$153,276,675 ","$181,349,992 "
Slackers,2,$0 ,$0 
Sleeper Agent,2,"$71,119,177 ","$152,374,220 "
Soap Opera,2,"$23,559 ","$23,559 "
Sports Injury,2,"$31,199,423 ","$57,502,368 "
Staged Crime,2,$0 ,$0 
Suicide Mission,2,"$532,177,324 ","$1,055,227,919 "
Sundance Film Festival 2017,2,$0 ,"$428,468 "
Surprise Party,2,"$60,289 ","$211,637 "
Survivor Guilt,2,"$55,011,732 ","$94,973,540 "
Sweatshops,2,"$9,710 ","$244,693 "
"São Paulo, Brazil",2,"$405,048 ","$3,358,140 "
Take a Dive,2,$0 ,"$253,784 "
Tang Dynasty,2,"$1,104,708 ","$53,034,617 "
Tattoo Artist,2,"$6,980,524 ","$7,440,964 "
Technophobic,2,$0 ,"$657,829 "
Teensploitation,2,"$2,434,290 ","$3,299,343 "
Treason,2,"$87,294,496 ","$195,366,143 "
True Crime Documentary,2,"$25,000 ","$25,000 "
Turned Into a TV Show,2,"$114,279,499 ","$140,529,499 "
TV Actor,2,"$142,502,728 ","$376,971,110 "
U.S. Marshall,2,"$57,833,603 ","$57,833,603 "
Undocumented Worker,2,"$367,849 ","$3,743,094 "
Unidentified Body,2,"$155,702 ","$2,334,622 "
Unofficial Adaptation,2,"$7,035,618 ","$7,035,618 "
Unreliable Narrator,2,"$8,619,416 ","$11,529,078 "
Used Car Salesman,2,$0 ,$0 
USO Tour,2,"$3,020,665 ","$3,386,153 "
Venezuela,2,"$116,763 ","$1,439,402 "
Waiter or Waitress,2,"$129,124 ","$759,087 "
Wedding Jitters / Cold Feet,2,"$940,854 ","$940,854 "
Worker's Rights,2,$0 ,$0 
World Music,2,"$120,980 ","$123,862 "
Yellowface,2,"$9,551,904 ","$9,682,481 "
Yuan Dynasty,2,"$631,342 ","$119,631,342 "
Irish Republican Army,1,"$62,546,695 ","$62,546,695 "
1100s,1,"$80,101,125 ","$409,953,905 "
96 frames per second,1,"$301,429 ","$686,652 "
Acrobatics,1,"$12,512,862 ","$28,012,862 "
Adult Contemporary Music,1,"$315,173 ","$315,173 "
Alt Rock,1,"$2,684 ","$2,684 "
Ancient Greece,1,"$44,502 ","$44,502 "
Animal Trafficking,1,"$17,744,685 ","$35,871,031 "
Anti Hero,1,$0 ,"$15,964 "
Antiques or Antique Dealer,1,"$597,238 ","$597,238 "
Asexual,1,"$15,122 ","$15,122 "
Asthma,1,"$565,042 ","$1,767,746 "
Baby Boomers,1,$0 ,$0 
Based on a Viral Video,1,$0 ,$0 
Bedridden,1,$724 ,"$84,314 "
Blacklisted,1,$0 ,"$24,666 "
Blood Libel,1,$0 ,$0 
Board Game,1,$0 ,$0 
Bootlegger,1,"$2,369,469 ","$5,429,008 "
Border Agents,1,"$62,253,077 ","$250,372,367 "
Born from Incest,1,"$112,481 ","$4,840,375 "
Business Trip,1,"$113,169 ","$113,169 "
Carjacking,1,$0 ,$0 
Chernobyl Disaster,1,"$13,509 ","$78,075 "
Children in Charge,1,$0 ,$0 
Childrens Rights,1,"$347,321 ","$985,592 "
Civilian Casualties,1,$0 ,$0 
Computer Simulation,1,"$54,647,948 ","$240,759,682 "
Conscientious Objector,1,"$67,209,615 ","$168,904,682 "
Cop Falling in Love with Suspect,1,"$58,571,513 ","$58,571,513 "
Coup d’Etat,1,$0 ,"$9,765 "
Crime Wave,1,$0 ,"$19,757 "
Crop Circles,1,$0 ,$0 
Deathbed,1,"$467,247 ","$468,172 "
Debunker,1,"$180,590 ","$180,590 "
Debutante,1,"$2,938,000 ","$2,938,000 "
Defecting,1,"$1,827,604 ","$7,540,214 "
Diplomats,1,"$5,019,226 ","$7,760,380 "
Disowned,1,"$35,948 ","$90,577 "
Double Bill Release,1,"$4,052,137 ","$4,052,137 "
Drafted,1,"$930,058 ","$20,560,924 "
Drive-By Shooting,1,"$38,263 ","$38,263 "
Drug Enforcement Agency,1,$0 ,"$33,313 "
Druids,1,$0 ,$0 
Electronic Voice Phenomenon,1,$0 ,$0 
Ellis Island,1,"$38,322,743 ","$62,076,141 "
Elves,1,"$255,119,788 ","$943,328,905 "
Emotional Abuse,1,"$13,092,006 ","$39,948,445 "
Evil Twin,1,"$175,084,580 ","$256,091,919 "
Existential Crisis,1,"$434,038,008 ","$1,073,357,481 "
Fake Suicide Attempt,1,"$1,378,591 ","$2,571,741 "
Faked Accidental Death,1,$0 ,$0 
False Confession,1,"$89,315 ","$13,411,818 "
Family Bonding,1,"$61,555,145 ","$133,328,120 "
Farewell Tour,1,"$35,866 ","$35,866 "
Field Hockey,1,"$382,104 ","$6,550,709 "
"Filmed in 309th Aerospace Maintenance and Regeneration Groups aircraft boneyard, Tucscon, AZ",1,"$402,111,870 ","$836,519,699 "
"Filmed in 330 North Wabash, Chicago, IL",1,"$533,720,947 ","$999,434,419 "
"Filmed in 71 East Wacker Drive, Chicago, IL",1,"$352,390,543 ","$1,123,794,079 "
"Filmed in 9th Street, Cleveland, OH",1,"$623,357,910 ","$1,515,100,211 "
"Filmed in Abbotsbury Subtropical Gardens, Dorset, England",1,$0 ,"$7,668,663 "
"Filmed in Aerotropolis Atlanta, Hapeville, GA",1,"$408,084,349 ","$1,151,918,521 "
Filmed in Al-Salt Jordan,1,"$402,111,870 ","$836,519,699 "
"Filmed in Alamogordo, NM",1,"$402,111,870 ","$836,519,699 "
"Filmed in Albuquerque Studios, Albuquerque, NM",1,"$623,357,910 ","$1,515,100,211 "
"Filmed in Albuquerque, NM",1,"$623,357,910 ","$1,515,100,211 "
"Filmed in Alexandra Palace Theatre, London, England",1,"$390,532,085 ","$1,131,219,645 "
"Filmed in Amber Museum, Puerto Plata, Dominican Republic",1,"$402,523,348 ","$1,045,573,035 "
"Filmed in American Museum of Natural History, New York, NY",1,"$373,524,485 ","$794,697,557 "
"Filmed in American Red Cross Headquarters, Washington, DC",1,"$352,390,543 ","$1,123,794,079 "
"Filmed in Angkor Wat, Cambodia",1,"$352,390,543 ","$1,123,794,079 "
"Filmed in Ansley Park, Atlanta, GA",1,"$404,508,916 ","$961,230,193 "
"Filmed in Antelope Valley, CA",1,"$353,007,020 ","$1,517,179,709 "
"Filmed in Anthology Film Archives, New York, NY",1,"$373,524,485 ","$794,697,557 "
"Filmed in Aosta Valley, Italy",1,"$459,005,868 ","$1,396,099,202 "
"Filmed in Arborfield Studios, Berkshire, England",1,"$355,559,216 ","$1,046,918,234 "
"Filmed in Arc de Triomphe, Paris, France",1,"$402,111,870 ","$836,519,699 "
"Filmed in Argyll and Bute, Scotland",1,"$417,719,760 ","$1,308,334,005 "
"Filmed in Arundel Castle, West Sussex, England",1,"$412,563,408 ","$818,058,221 "
"Filmed in Atlanta City Hall, Atlanta, GA",1,"$700,059,566 ","$1,336,494,321 "
"Filmed in Atlanta Civic Center, Atlanta, GA",1,"$408,084,349 ","$1,151,918,521 "
"Filmed in Atlanta Media Campus & Studios, Norcross, GA",1,"$353,007,020 ","$1,517,179,709 "
"Filmed in Atlanta Metro Studios, Union City, GA",1,"$404,508,916 ","$961,230,193 "
Filmed in Atlantic Ocean,1,"$659,363,944 ","$2,207,986,545 "
"Filmed in ATT Switching Center, Los Angeles, CA",1,"$353,007,020 ","$1,517,179,709 "
Filmed in Australia,1,"$380,270,577 ","$848,998,877 "
"Filmed in Australia House, London, England",1,"$412,563,408 ","$818,058,221 "
"Filmed in Baja California, Mexico",1,"$659,363,944 ","$2,207,986,545 "
"Filmed in Banaue Rice Terraces, Ifugao, Philippines",1,"$678,815,482 ","$2,044,540,523 "
Filmed in Bangladesh,1,"$459,005,868 ","$1,396,099,202 "
"Filmed in Bannerman’s Castle, Pollepel Island, NY",1,"$352,390,543 ","$1,123,794,079 "
"Filmed in Baresdhoo, Laamu Atoll, Maldives",1,"$532,177,324 ","$1,055,135,598 "
"Filmed in Bartow County, GA",1,"$389,813,101 ","$869,113,101 "
"Filmed in Basilica di Santa Maria della Salute, Venice, Italy",1,"$390,532,085 ","$1,131,219,645 "
"Filmed in Baton Rouge, LA",1,"$426,829,839 ","$1,129,727,388 "
"Filmed in Battersea Power Station, London, England",1,"$533,720,947 ","$999,434,419 "
"Filmed in Bay Lake, FL",1,"$421,785,283 ","$986,214,868 "
"Filmed in Beaver Valley Rock Shelter/Indian Cave, Wilmington, DE",1,"$95,860,116 ","$239,500,000 "
"Filmed in Bedfordshire, England",1,"$532,177,324 ","$1,055,135,598 "
"Filmed in Belchite Old Town, Spain",1,"$390,532,085 ","$1,131,219,645 "
"Filmed in Belchite, Spain",1,"$390,532,085 ","$1,131,219,645 "
"Filmed in Bellevue Hospital, New York, NY",1,"$373,524,485 ","$794,697,557 "
"Filmed in Bellflower, CA",1,"$403,706,375 ","$821,706,375 "
"Filmed in Belmont Plaza Olympic Pool, Long Beach, CA",1,"$659,363,944 ","$2,207,986,545 "
"Filmed in Berlin, Germany",1,"$408,084,349 ","$1,151,918,521 "
"Filmed in Berwickshire, Scotland",1,"$858,373,000 ","$2,797,800,564 "
"Filmed in Bethlehem Steel, Bethlehem, PA",1,"$402,111,870 ","$836,519,699 "
"Filmed in Bethlehem, PA",1,"$402,111,870 ","$836,519,699 "
"Filmed in Blackbushe Airport, Hampshire, England",1,"$417,719,760 ","$1,308,334,005 "
"Filmed in Bodnant Gardens, Conwy, Wales",1,$0 ,"$7,668,663 "
Filmed in Bolivia,1,"$620,181,382 ","$1,332,539,889 "
"Filmed in Boundary Bay Regional Airport, Delta, BC, Canada",1,"$363,070,709 ","$784,682,527 "
"Filmed in Bourne Wood, Surrey, England",1,"$412,563,408 ","$818,058,221 "
"Filmed in Brach’s Factory, Chicago, IL",1,"$533,720,947 ","$999,434,419 "
"Filmed in Brecon Beacons National Park, Wales",1,"$448,139,099 ","$1,082,228,107 "
"Filmed in Brevard County, FL",1,"$352,390,543 ","$1,123,794,079 "
"Filmed in Brevard, NC",1,"$408,010,692 ","$677,923,379 "
"Filmed in British Columbia, Canada",1,"$363,070,709 ","$784,682,527 "
"Filmed in British Museum, London, England",1,"$412,563,408 ","$818,058,221 "
"Filmed in Broadway, New York, NY",1,"$390,532,085 ","$1,131,219,645 "
"Filmed in Broward County, FL",1,"$408,992,272 ","$1,215,392,272 "
"Filmed in Brunswick County, NC",1,"$408,992,272 ","$1,215,392,272 "
"Filmed in Buchanan Field Airport, Concord, CA",1,"$115,000,000 ","$140,000,000 "
"Filmed in Buckhead, Atlanta, GA",1,"$408,084,349 ","$1,151,918,521 "
"Filmed in Budapest, Hungary",1,$0 ,"$2,748,763 "
"Filmed in Burke County, NC",1,"$408,010,692 ","$677,923,379 "
"Filmed in Busan, South Korea",1,"$700,059,566 ","$1,336,494,321 "
"Filmed in Bwindi Impenetrable National Park, Uganda",1,"$700,059,566 ","$1,336,494,321 "
Filmed in Cambodia,1,"$352,390,543 ","$1,123,794,079 "
"Filmed in Camerota, Italy",1,"$412,563,408 ","$818,058,221 "
"Filmed in Camp Pendleton, San Diego County, CA",1,"$402,111,870 ","$836,519,699 "
"Filmed in Canary Wharf London Underground station, London, England",1,"$532,177,324 ","$1,055,135,598 "
"Filmed in Cardington Airfield, Bedfordshire, England",1,"$532,177,324 ","$1,055,135,598 "
"Filmed in Carlo IV Hotel, Prague, Czech Republic",1,"$390,532,085 ","$1,131,219,645 "
"Filmed in Carnegie Mellon University, Pittsburgh, PA",1,"$448,139,099 ","$1,082,228,107 "
"Filmed in Cartersville, GA",1,"$389,813,101 ","$869,113,101 "
"Filmed in Cary, NC",1,"$408,992,272 ","$1,215,392,272 "
"Filmed in Caserta Palace, Italy",1,"$474,544,677 ","$1,027,044,677 "
"Filmed in Castel del Monte, Italy",1,"$412,563,408 ","$818,058,221 "
"Filmed in Ceann Sibeal, Ireland",1,"$620,181,382 ","$1,332,539,889 "
"Filmed in Central Business District, Johannesburg, South Africa",1,"$459,005,868 ","$1,396,099,202 "
"Filmed in Central Park, Atlanta, GA",1,"$678,815,482 ","$2,044,540,523 "
"Filmed in Central Park, New York, NY",1,"$623,357,910 ","$1,515,100,211 "
"Filmed in Central to Mid-Levels covered escalator, Hong Kong, China",1,"$533,720,947 ","$999,434,419 "
"Filmed in Chaffee County, CO",1,"$353,007,020 ","$1,517,179,709 "
"Filmed in Chancellor Street, Philadelphia, PA",1,"$402,111,870 ","$836,519,699 "
"Filmed in Charles Bridge, Prague, Czech Republic",1,"$390,532,085 ","$1,131,219,645 "
"Filmed in Charlotte, NC",1,"$408,010,692 ","$677,923,379 "
"Filmed in Chertsey, Surrey, England",1,"$533,720,947 ","$999,434,419 "
"Filmed in Chevrolet powertrain plant, Parma, OH",1,"$623,357,910 ","$1,515,100,211 "
"Filmed in China Lake Acres, CA",1,"$460,998,007 ","$775,398,007 "
"Filmed in Chinatown, Vancouver, BC, Canada",1,"$363,070,709 ","$784,682,527 "
"Filmed in Chittagong Ship Breaking Yard, Chittagong, Bangladesh",1,"$459,005,868 ","$1,396,099,202 "
"Filmed in Chittagong, Bangladesh",1,"$459,005,868 ","$1,396,099,202 "
"Filmed in Chott el Djerid, Tunisia",1,"$460,998,007 ","$775,398,007 "
"Filmed in Cilentan Coast, Italy",1,"$412,563,408 ","$818,058,221 "
"Filmed in Cinecittà Studios, Rome, Italy",1,"$370,782,930 ","$622,313,635 "
"Filmed in City Methodist Church, Gary, IN",1,"$352,390,543 ","$1,123,794,079 "
"Filmed in Cleveland County, NC",1,"$408,010,692 ","$677,923,379 "
"Filmed in Cleveland, OH",1,"$623,357,910 ","$1,515,100,211 "
"Filmed in Cobalt Hotel, Vancouver, BC, Canada",1,"$363,070,709 ","$784,682,527 "
"Filmed in Colorado, United States",1,"$353,007,020 ","$1,517,179,709 "
"Filmed in Concord, CA",1,"$115,000,000 ","$140,000,000 "
"Filmed in Contra Costa County, CA",1,"$115,000,000 ","$140,000,000 "
"Filmed in Conwy, Wales",1,$0 ,"$7,668,663 "
"Filmed in Cook County, IL",1,"$352,390,543 ","$1,123,794,079 "
"Filmed in Coolidge Municipal Airport, Coolidge, AZ",1,"$353,007,020 ","$1,517,179,709 "
"Filmed in Coolidge, AZ",1,"$353,007,020 ","$1,517,179,709 "
"Filmed in Coquitlam, BC, Canada",1,"$363,070,709 ","$784,682,527 "
"Filmed in Cornwall, England",1,$0 ,"$7,668,663 "
"Filmed in County Donegal, Ireland",1,"$620,181,382 ","$1,332,539,889 "
"Filmed in Craco, Italy",1,"$370,782,930 ","$622,313,635 "
"Filmed in Cragside House, Northumberland, England",1,"$417,719,760 ","$1,308,334,005 "
"Filmed in Creekside Mushroom Farms, Worthington, PA",1,"$623,357,910 ","$1,515,100,211 "
"Filmed in Crescent City, CA",1,"$435,110,554 ","$792,962,972 "
"Filmed in Criterion Restaurant, Picadilly Circus, London, England",1,"$533,720,947 ","$999,434,419 "
"Filmed in Culver City High School, CA",1,"$435,110,554 ","$792,962,972 "
"Filmed in Cypress Hills Cemetary, Brooklyn, NY",1,"$373,524,485 ","$794,697,557 "
Filmed in Czech Republic,1,"$390,532,085 ","$1,131,219,645 "
"Filmed in Dania Beach, FL",1,"$408,992,272 ","$1,215,392,272 "
"Filmed in DAR Constitution Hall, Washington, DC",1,"$352,390,543 ","$1,123,794,079 "
"filmed in Dartmouth, Nova Scotia",1,"$659,363,944 ","$2,207,986,545 "
"Filmed in Davis Monthan Air Force Base, Tucson, AZ",1,"$402,111,870 ","$836,519,699 "
"Filmed in Death Valley, CA",1,"$460,998,007 ","$775,398,007 "
"Filmed in Del Norte County, CA",1,"$435,110,554 ","$792,962,972 "
"Filmed in Delaware, United States",1,"$95,860,116 ","$239,500,000 "
"Filmed in Delta, BC, Canada",1,"$363,070,709 ","$784,682,527 "
"Filmed in Detroit, MI",1,"$352,390,543 ","$1,123,794,079 "
"Filmed in Detroit-Superior Bridge, Cleveland, OH",1,"$623,357,910 ","$1,515,100,211 "
"Filmed in Dillingham Airfield, Oahu, HI",1,"$417,719,760 ","$1,308,334,005 "
"Filmed in Disney Concert Hall, Los Angeles, CA",1,"$353,007,020 ","$1,517,179,709 "
"Filmed in District of Columbia, United States",1,"$352,390,543 ","$1,123,794,079 "
Filmed in Dominican Republic,1,"$402,523,348 ","$1,045,573,035 "
"Filmed in Dorset, England",1,$0 ,"$7,668,663 "
"Filmed in Dorsey High School, Los Angeles, CA",1,"$403,706,375 ","$821,706,375 "
"Filmed in Dover Castle, Kent, England",1,"$459,005,868 ","$1,396,099,202 "
"Filmed in Dover, Kent, England",1,"$459,005,868 ","$1,396,099,202 "
"Filmed in Downey, CA",1,"$403,706,375 ","$821,706,375 "
"Filmed in Downtown Chicago, IL",1,"$352,390,543 ","$1,123,794,079 "
"Filmed in Downtown, Atlanta, GA",1,"$353,007,020 ","$1,517,179,709 "
"Filmed in Downtown, Vancouver, BC, Canada",1,"$363,070,709 ","$784,682,527 "
"Filmed in DreamWorks Animation, Glendale, CA",1,"$441,226,247 ","$935,253,978 "
"Filmed in Drexel University, Philadelphia, PA",1,"$402,111,870 ","$836,519,699 "
"Filmed in Duplin County, NC",1,"$408,992,272 ","$1,215,392,272 "
"Filmed in Durham Cathedral, Durham, England",1,"$858,373,000 ","$2,797,800,564 "
"Filmed in Dutchess County, New York, NY",1,"$858,373,000 ","$2,797,800,564 "
"Filmed in East Anglia, England",1,"$459,005,868 ","$1,396,099,202 "
"Filmed in East Berkshire College, Berkshire, England",1,"$417,719,760 ","$1,308,334,005 "
"Filmed in East Chicago, IN",1,"$352,390,543 ","$1,123,794,079 "
"Filmed in Eastern State Penitentiary, Philadelphia, PA",1,"$402,111,870 ","$836,519,699 "
"Filmed in Echo Park, Los Angeles, CA",1,"$353,007,020 ","$1,517,179,709 "
"Filmed in Edinburgh, Scotland",1,"$678,815,482 ","$2,044,540,523 "
"Filmed in Edwards Air Force Base, CA",1,"$426,829,839 ","$1,129,727,388 "
Filmed in Egypt,1,"$402,111,870 ","$836,519,699 "
"Filmed in Eiffel Tower, Paris, France",1,"$402,111,870 ","$836,519,699 "
"Filmed in El Paso County, CO",1,"$353,007,020 ","$1,517,179,709 "
"Filmed in Emirates Palace Hotel, Abu Dhabi",1,"$353,007,020 ","$1,517,179,709 "
"Filmed in Epic Games headquarters, Cary, NC",1,"$408,992,272 ","$1,215,392,272 "
"Filmed in Essex County, NJ",1,"$390,532,085 ","$1,131,219,645 "
"Filmed in Etihad Towers, Abu Dhabi",1,"$353,007,020 ","$1,517,179,709 "
"Filmed in EUE/Screen Gems Studio, Wilmington, NC",1,"$408,992,272 ","$1,215,392,272 "
"Filmed in EUE/Screen Gems Studios, Atlanta, GA",1,"$700,059,566 ","$1,336,494,321 "
"Filmed in Everett Theatre, Middletown, DE",1,"$95,860,116 ","$239,500,000 "
"Filmed in Fairfax County, VA",1,"$402,111,870 ","$836,519,699 "
"Filmed in First Congregational Church of Los Angeles, Los Angeles, CA",1,"$373,524,485 ","$794,697,557 "
"Filmed in Fisher Building, Detroit, MI",1,"$352,390,543 ","$1,123,794,079 "
"Filmed in Five Points MARTA station, Atlanta, GA",1,"$858,373,000 ","$2,797,800,564 "
"Filmed in Fleet, Hampshire, England",1,"$417,719,760 ","$1,308,334,005 "
"Filmed in Forest Park, GA",1,"$353,007,020 ","$1,517,179,709 "
"Filmed in Fort Bard, Italy",1,"$459,005,868 ","$1,396,099,202 "
"Filmed in Fort Gillem, Forest Park, GA",1,"$353,007,020 ","$1,517,179,709 "
Filmed in Fox Baja Studios,1,"$659,363,944 ","$2,207,986,545 "
"Filmed in Fox Studios Australia, Sydney, Australia",1,"$380,270,577 ","$848,998,877 "
"Filmed in Freshwater West, Pembrokeshire, Wales",1,"$381,193,157 ","$1,334,392,544 "
"Filmed in Fresno County, CA",1,"$426,829,839 ","$1,129,727,388 "
"Filmed in Gan, Laamu Atoll, Maldives",1,"$532,177,324 ","$1,055,135,598 "
"Filmed in Gangnam District, Seoul, South Korea",1,"$459,005,868 ","$1,396,099,202 "
"Filmed in Gary, IN",1,"$352,390,543 ","$1,123,794,079 "
"Filmed in Georgia International Convention Center, GA",1,"$389,813,101 ","$869,113,101 "
"Filmed in Georgia Viaduct, Vancouver, BC, Canada",1,"$363,070,709 ","$784,682,527 "
Filmed in Germany,1,"$408,084,349 ","$1,151,918,521 "
"Filmed in Giza pyramid complex, Egypt",1,"$402,111,870 ","$836,519,699 "
"Filmed in Goat Farm Arts Center, Atlanta, GA",1,"$424,668,047 ","$864,868,047 "
"Filmed in Grand Bahama Island, Bahamas",1,"$423,315,812 ","$1,066,215,812 "
"Filmed in Grauman’s Chinese Theatre, Hollywood, CA",1,"$408,992,272 ","$1,215,392,272 "
Filmed in Guatemala,1,"$460,998,007 ","$775,398,007 "
"Filmed in Gunnison County, CO",1,"$353,007,020 ","$1,517,179,709 "
"Filmed in Gwangalli Beach, Busan, South Korea",1,"$700,059,566 ","$1,336,494,321 "
"Filmed in Gwangandaegyo Bridge, Busan, South Korea",1,"$700,059,566 ","$1,336,494,321 "
"Filmed in Haeundae District, Busan, South Korea",1,"$700,059,566 ","$1,336,494,321 "
Filmed in Hafursey Iceland,1,"$532,177,324 ","$1,055,135,598 "
"Filmed in Haiku, Maui, HI",1,"$402,523,348 ","$1,045,573,035 "
"Filmed in Halifax, Nova Scotia, Canada",1,"$659,363,944 ","$2,207,986,545 "
"Filmed in Hapeville, GA",1,"$408,084,349 ","$1,151,918,521 "
"Filmed in Harlaxton Manor, Lincolnshire, England",1,$0 ,"$7,668,663 "
"Filmed in Harris County, TX",1,"$352,390,543 ","$1,123,794,079 "
"Filmed in Hartland Park, Fleet, Hampshire, England",1,"$417,719,760 ","$1,308,334,005 "
"Filmed in Hatley Castle, Victoria, BC, Canada",1,"$363,070,709 ","$784,682,527 "
"Filmed in Hawai'i, HI",1,"$404,508,916 ","$961,230,193 "
"Filmed in He'eia Kea Jungle, Oahu, HI",1,"$404,508,916 ","$961,230,193 "
"Filmed in He'eia Kea Small Boat Harbor, Oahu, HI",1,"$417,719,760 ","$1,308,334,005 "
"Filmed in Heinz Field, Pittsburgh, PA",1,"$448,139,099 ","$1,082,228,107 "
"Filmed in Helmsley Walled Garden, Yorkshire, England",1,$0 ,"$7,668,663 "
"Filmed in Henry County, GA",1,"$353,007,020 ","$1,517,179,709 "
"Filmed in Henry River Mill Village, NC",1,"$408,010,692 ","$677,923,379 "
"Filmed in High Museum of Art, Atlanta, GA",1,"$700,059,566 ","$1,336,494,321 "
"Filmed in Hjörleifshöfði mountain, Iceland",1,"$532,177,324 ","$1,055,135,598 "
"Filmed in Hlavni-Nadrazi station, Prague, Czech Republic",1,"$390,532,085 ","$1,131,219,645 "
"Filmed in Hobbiton Movie Set, Matamata, New Zealand",1,"$377,845,905 ","$1,120,224,046 "
"Filmed in Holland Park School, London, England",1,"$390,532,085 ","$1,131,219,645 "
"Filmed in Holloman Air Force Base, Alamogordo, NM",1,"$402,111,870 ","$836,519,699 "
"Filmed in Hotel Sidi Driss, Tunisia",1,"$460,998,007 ","$775,398,007 "
"Filmed in Houston, TX",1,"$352,390,543 ","$1,123,794,079 "
"Filmed in Hālona Blowhole, Oahu, HI",1,"$417,719,760 ","$1,308,334,005 "
"Filmed in Iford Manor, Wiltshire, England",1,$0 ,"$7,668,663 "
"Filmed in Ifugao, Philippines",1,"$678,815,482 ","$2,044,540,523 "
Filmed in India,1,"$448,139,099 ","$1,082,228,107 "
"Filmed in Indiana, United States",1,"$352,390,543 ","$1,123,794,079 "
"Filmed in International Finance Centre, Hong Kong, China",1,"$533,720,947 ","$999,434,419 "
Filmed in Israel,1,$0 ,$0 
"Filmed in Ivar Theatre, Hollywood, CA",1,"$373,524,485 ","$794,697,557 "
"Filmed in Ivinghoe Beacon, Buckinghamshire, England",1,"$515,202,542 ","$1,072,944,222 "
"Filmed in Jagalchi Fish Market, Busan, South Korea",1,"$700,059,566 ","$1,336,494,321 "
"Filmed in James R. Thompson Center, Chicago, IL",1,"$533,720,947 ","$999,434,419 "
Filmed in Japan,1,"$353,007,020 ","$1,517,179,709 "
"Filmed in Jewelers’ Building, Chicago, IL",1,"$352,390,543 ","$1,123,794,079 "
"Filmed in Jim Hall Racing Club, Oxnard, CA",1,"$426,829,839 ","$1,129,727,388 "
"Filmed in Jodhpur, Rajasthan, India",1,"$448,139,099 ","$1,082,228,107 "
"Filmed in Johannesburg, South Africa",1,"$459,005,868 ","$1,396,099,202 "
"Filmed in John Wanamaker Department Store, Philadelphia, PA",1,"$402,111,870 ","$836,519,699 "
"Filmed in Johnson Space Center, Houston, TX",1,"$352,390,543 ","$1,123,794,079 "
"Filmed in Kawainui Falls, Hawai'i, HI",1,"$404,508,916 ","$961,230,193 "
"Filmed in Kennedy Space Center, Merritt Island, FL",1,"$352,390,543 ","$1,123,794,079 "
"Filmed in Kern County, CA",1,"$426,829,839 ","$1,129,727,388 "
"Filmed in Kings Cross Station, London, England",1,"$412,563,408 ","$818,058,221 "
"Filmed in Krafla, Iceland",1,"$532,177,324 ","$1,055,135,598 "
"Filmed in LA River Channel, Los Angeles, CA",1,"$353,007,020 ","$1,517,179,709 "
"Filmed in Laamu Atoll, Maldives",1,"$532,177,324 ","$1,055,135,598 "
"Filmed in Laird International Studios, Culver City, CA",1,"$435,110,554 ","$792,962,972 "
"Filmed in Lake County, IN",1,"$352,390,543 ","$1,123,794,079 "
"Filmed in Lake Mývatn, Iceland",1,"$532,177,324 ","$1,055,135,598 "
"Filmed in Lanarkshire, Scotland",1,"$678,815,482 ","$2,044,540,523 "
"Filmed in Langley Business Centre, Slough, England",1,"$417,719,760 ","$1,308,334,005 "
"Filmed in Langley, BC, Canada",1,"$363,070,709 ","$784,682,527 "
"Filmed in Laurel Hill Cemetary, Philadelphia, PA",1,"$402,111,870 ","$836,519,699 "
"Filmed in Lavenham, Suffolk, England",1,"$381,193,157 ","$1,334,392,544 "
"Filmed in Leipzig/Halle Airport, Schkeuditz, Germany",1,"$408,084,349 ","$1,151,918,521 "
"Filmed in Leonardo Da Vinci Museum, Venice, Italy",1,"$390,532,085 ","$1,131,219,645 "
"Filmed in Liberac, Czech Republic",1,"$390,532,085 ","$1,131,219,645 "
"Filmed in Lincolnshire, England",1,$0 ,"$7,668,663 "
"Filmed in Lincoln’s Inn Fields, London, England",1,"$412,563,408 ","$818,058,221 "
"Filmed in Liwa Oasis, Abu Dhabi",1,"$936,662,225 ","$2,065,478,084 "
"Filmed in Loch Long, Argyll and Bute, Scotland",1,"$417,719,760 ","$1,308,334,005 "
"Filmed in Los Angeles Center Studios, Los Angeles, CA",1,"$364,001,123 ","$953,554,418 "
"Filmed in Louvre Museum, Paris, France",1,"$412,563,408 ","$818,058,221 "
"Filmed in Lower Halstow, Kent, England",1,"$412,563,408 ","$818,058,221 "
"Filmed in Lucerne Valley, CA",1,"$426,829,839 ","$1,129,727,388 "
"Filmed in Luxor, Egypt",1,"$402,111,870 ","$836,519,699 "
"Filmed in Madison Square Garden, New York, NY",1,"$390,532,085 ","$1,131,219,645 "
